category,institute_id,name,city,state,score,rank
College,IR-C-C-6425,Hans Raj College,Delhi,Delhi,81.75,3
College,IR-C-C-6385,Kirori Mal College,Delhi,Delhi,80.33,4
College,IR-C-C-22470,St. Stephens's College,Delhi,Delhi,79.41,5
College,IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,Kolkata,West Bengal,76.74,6
College,IR-C-C-22462,Atma Ram Sanatan Dharm College,New Delhi,Delhi,76.09,7
College,IR-C-C-11881,St. Xavier`s College,Kolkata,West Bengal,76.07,8
College,IR-C-C-41046,PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,75.52,9
College,IR-C-C-41124,PSG College of Arts and Science,Coimbatore,Tamil Nadu,73.15,10
College,IR-C-C-6369,Sri Venkateswara College,Delhi,Delhi,72.61,11
College,IR-C-C-11691,Rajagiri College of Social Sciences,Ernakulam,Kerala,71.72,12
College,IR-C-C-6409,Deshbandhu College,New Delhi,Delhi,71.26,13
College,IR-C-C-44006,Loyola College,Chennai,Tamil Nadu,71.14,14
College,IR-C-C-43921,Presidency College,Chennai,Tamil Nadu,70.62,15
College,IR-C-C-43965,Madras Christian College,Chennai,Tamil Nadu,70.57,16
College,IR-C-C-6415,Lady Shri Ram College For Women,New Delhi,Delhi,69.87,17
College,IR-C-C-6419,Shri Ram College of Commerce,Delhi,Delhi,69.01,18
College,IR-C-C-11926,Ramakrishna Mission Vidyamandira,Howrah,West Bengal,69.0,19
College,IR-C-C-36513,Thiagarajar College,Madurai,Tamil Nadu,68.93,20
College,IR-C-C-6380,Acharya Narendra Dev College,New Delhi,Delhi,68.21,21
College,IR-C-C-41157,V.O. Chidambaram College,Thoothukudi,Tamil Nadu,67.27,22
College,IR-C-C-43671,"University College, Thiruvananthapuram",Thiruvananthapuram,Kerala,67.17,23
College,IR-C-C-42814,Ramakrishna Mission Residential College,Kolkata,West Bengal,66.81,24
College,IR-C-C-35860,"St. Joseph's College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,66.59,25
College,IR-C-C-6367,Daulat Ram College,Delhi,Delhi,64.56,26
College,IR-C-C-6361,Deen Dayal Upadhyaya College,New Delhi,Delhi,64.19,27
College,IR-C-C-6371,Ramjas College,Delhi,Delhi,63.82,28
College,IR-C-C-6353,Sri Guru Tegh Bahadur Khalsa College,Delhi,Delhi,63.26,29
College,IR-C-C-6376,Delhi College of Arts & Commerce,South West,Delhi,63.11,30
College,IR-C-C-27608,Lady Irwin College,Delhi,Delhi,62.88,31
College,IR-C-C-6413,Sri Guru Gobind Singh College of Commerce,Delhi,Delhi,62.63,32
College,IR-C-C-6429,Gargi College,Delhi,Delhi,62.48,33
College,IR-C-C-20653,Kristu Jayanti College,Bengaluru,Karnataka,62.29,34
College,IR-C-C-29284,Govt Home Science College,Chandigarh,Chandigarh,62.18,35
College,IR-C-C-6432,Dyal Singh College,New Delhi,Delhi,61.99,36
College,IR-C-C-6431,Ramanujan College,New Delhi,Delhi,61.85,37
College,IR-C-C-6391,Maitreyi College,New Delhi,Delhi,61.84,38
College,IR-C-C-6421,Shaheed Bhagat Singh College,New Delhi,Delhi,61.55,39
College,IR-C-C-35868,Dhanalakshmi Srinivasan College of Arts & Science for Women,Perambalur,Tamil Nadu,61.5,40
College,IR-C-C-43931,Stella Maris College for Women,Chennai,Tamil Nadu,61.25,41
College,IR-C-C-19103,Midnapore College,Midnapore,West Bengal,61.23,42
College,IR-C-C-6357,Shyam Lal College,Delhi,Delhi,60.96,43
College,IR-C-C-11708,Sacred Heart College,Kochi,Kerala,60.77,44
College,IR-C-C-6387,Bhaskaracharya College of Applied Sciences,New Delhi,Delhi,60.2,45
College,IR-C-C-35825,Bishop Heber College,Tiruchirappalli,Tamil Nadu,60.18,46
College,IR-C-C-11971,Lady Brabourne College,KOLKATA,West Bengal,60.17,47
College,IR-C-C-41173,"St. Xavier's College, Palayamkottai",Palayamkottai,Tamil Nadu,60.16,48
College,IR-C-C-8308,Pachhunga University College,Aizawl,Mizoram,59.88,49
College,IR-C-C-41126,Sri Krishna Arts and Science College,Coimbatore,Tamil Nadu,59.74,50
College,IR-C-C-6502,Kanchi Mamunivar Govt. Institute for Postgraduate Studies and Research,PUDUCHERRY,Pondicherry,59.58,51
College,IR-C-C-35787,"Holy Cross College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,59.47,52
College,IR-C-C-8169,"St. Thomas College, Thrissur",Thrissur,Kerala,59.19,53
College,IR-C-C-43705,"Govt. College for Women, Thiruvananthapuram",Thiruvananthapuram,Kerala,58.99,54
College,IR-C-C-43964,Madras School of Social Work,Chennai,Tamil Nadu,58.9,55
College,IR-C-C-11831,"St Berchmans College (Autonomous), Changanacherry, Kerala",Kottayam,Kerala,58.38,56
College,IR-C-I-1385,Fergusson College (Autonomous),Pune,Maharashtra,58.35,57
College,IR-C-C-6417,Kamala Nehru College,Delhi,Delhi,58.22,58
College,IR-C-C-36547,The American College,Madurai,Tamil Nadu,58.12,59
College,IR-C-C-11582,"St. Teresa's College, Ernakulam",Ernakulam,Kerala,57.84,60
College,IR-C-C-43767,"Mar Ivanios College, Thiruvananthapuram",Thiruvananthapuram,Kerala,57.75,61
College,IR-C-N-6,Queen Mary`s College,Chennai,Tamil Nadu,57.68,62
College,IR-C-C-41154,"Nesamony Memorial Christian College, Marthandam, Kanyakumari Dist.",Marthandam,Tamil Nadu,57.67,63
College,IR-C-C-43902,Ethiraj College for Women,Chennai,Tamil Nadu,57.64,64
College,IR-C-C-6426,Shaheed Rajguru College of Applied Sciences for Women,Delhi,Delhi,57.59,65
College,IR-C-C-41054,Dr. N. G. P. Arts and Science College,Coimbatore,Tamil Nadu,57.56,66
College,IR-C-C-41035,Government Arts College,Coimbatore,Tamil Nadu,57.49,67
College,IR-C-C-20729,"M S Ramaiah College of Arts, Science, and Commerce",Bengaluru,Karnataka,57.49,67
College,IR-C-C-6366,Shivaji College,Delhi,Delhi,57.48,69
College,IR-C-I-1373,Goswami Ganesh Dutta S.D. College,Chandigarh,Chandigarh,57.44,70
College,IR-C-C-35848,Government Arts College,Kumbakonam,Tamil Nadu,57.3,71
College,IR-C-C-36579,Ayya Nadar Janaki Ammal College,Sivakasi,Tamil Nadu,57.27,72
College,IR-C-C-16897,St. Aloysius College,Mangaluru,Karnataka,57.17,73
College,IR-C-C-8010,"St. Joseph’s College, Devagiri",Kozhikode,Kerala,56.89,74
College,IR-C-C-11697,"Maharaja's College, Ernakulam",Ernakulam,Kerala,56.86,75
