institute_id,category,institute_name,intake_total_2022_23,student_strength_total,student_strength_male,student_strength_female,faculty_count,phd_students_fulltime,phd_students_parttime,phd_graduated_2022_23,placement_median_salary_inr,capital_expenditure_2022_23,operational_expenditure_2022_23,sponsored_projects_2022_23,sponsored_amount_2022_23,nirf_score,nirf_rank,scorecard_year
IR-P-I-1243,Pharmacy,"College of Pharmacy, Madras Medical College",100,326,144,182,28,0.0,0.0,0.0,564000,2866774,51945313,6.0,54000.0,42.34,94.0,2024
IR-P-I-1486,Pharmacy,Sri Ramachandra Institute of Higher Education and Research,236,778,388,390,65,21.0,50.0,0.0,800000,66793250,151179039,25.0,20506500.0,55.99,36.0,2025
IR-P-U-0436,Pharmacy,Amrita Vishwa Vidyapeetham,160,529,138,405,49,69.0,3.0,22.0,600000,8971239,54147060,18.0,1775649.0,68.39,14.0,2025
IR-P-U-0443,Pharmacy,Annamalai University,206,522,232,344,39,2.0,145.0,7.0,1135600,1692814,134314368,0.0,,54.68,42.0,2025
IR-P-U-0445,Pharmacy,B. S. Abdur Rahman Crescent Institute of Science and Technology,69,225,144,81,14,2.0,24.0,0.0,300000,3534655,24592698,0.0,10000.0,,,2024
IR-P-U-0473,Pharmacy,S.R.M. Institute of Science and Technology,229,772,421,351,62,50.0,61.0,4.0,650000,21615576,144150783,1.0,13257770.0,70.84,10.0,2024
IR-P-U-0491,Pharmacy,Vels Institute of Science Technology and Advanced Studies (VISTAS),185,673,406,267,60,34.0,90.0,6.0,590000,20802529,75015949,6.0,4460000.0,49.03,61.0,2025
IR-P-U-0492,Pharmacy,Vinayaka Mission's Research Foundation,185,632,465,180,63,5.0,94.0,1.0,480000,6055879,55508234,0.0,356455.0,41.55,99.0,2025
IR-R-I-1441,Research,Saveetha Institute of Medical and Technical Sciences,4954,13987,6546,7441,1129,658.0,849.0,127.0,1560000,577966740,5435031643,59.0,31051289.0,60.96,13.0,2025
IR-R-U-0436,Research,Amrita Vishwa Vidyapeetham,10007,26517,15669,10904,2104,1073.0,1236.0,243.0,600000,3327920284,10721614463,151.0,981189360.0,52.48,31.0,2025
IR-R-U-0439,Research,Anna University,4257,11940,7096,4844,856,1157.0,652.0,148.0,750000,335808614,3886790974,98.0,224679428.0,55.09,26.0,2025
IR-R-U-0447,Research,Bharathiar University,1672,3175,1337,1838,272,378.0,128.0,157.0,670000,93310373,1384606330,110.0,136859509.0,,,2024
IR-R-U-0448,Research,Bharathidasan University,1230,3115,1463,1652,286,543.0,297.0,194.0,264000,46552014,1099354086,60.0,348595849.0,,,2024
IR-R-U-0456,Research,Indian Institute of Technology Madras,2387,7512,5925,1587,686,2469.0,242.0,412.0,1200000,6130860320,16896680625,801.0,9694717158.0,82.99,2.0,2025
IR-R-U-0467,Research,National Institute of Technology Tiruchirappalli,2068,6389,4855,1534,355,674.0,184.0,143.0,1200000,800551970,3599747973,36.0,95028755.0,51.4,33.0,2025
IR-R-U-0473,Research,S.R.M. Institute of Science and Technology,22757,60645,34399,26246,4466,1760.0,881.0,360.0,690000,2921827669,16918498520,127.0,203093412.0,55.41,25.0,2025
IR-R-U-0490,Research,Vellore Institute of Technology,13660,54253,38062,16202,3352,4516.0,626.0,441.0,800000,1758311863,9439151636,201.0,202868433.0,60.39,14.0,2025
IR-O-I-1357,StatePublicUniversity,University of Madras,1810,3384,1395,1989,340,1022.0,464.0,398.0,480000,442100000,1763876124,88.0,235105776.0,61.43,18.0,2025
IR-O-U-0435,StatePublicUniversity,Alagappa University,1931,4051,1570,2481,382,731.0,725.0,80.0,120000,22649389,1171642255,41.0,166816254.0,62.82,14.0,2025
IR-O-U-0439,StatePublicUniversity,Anna University,4257,11940,7096,4844,856,1157.0,652.0,148.0,750000,335808614,3886790974,98.0,224679428.0,76.06,2.0,2025
IR-O-U-0443,StatePublicUniversity,Annamalai University,4899,11257,6339,4933,1183,1754.0,2998.0,317.0,1125200,40281469,6980242946,39.0,175222119.0,53.89,34.0,2025
IR-O-U-0447,StatePublicUniversity,Bharathiar University,1729,3190,1324,1866,226,520.0,179.0,129.0,675000,152510295,956666838,105.0,271129694.0,64.09,10.0,2025
IR-O-U-0448,StatePublicUniversity,Bharathidasan University,1425,3083,1545,1538,292,409.0,132.0,191.0,250560,123130069,916765637,73.0,440294426.0,62.45,16.0,2025
IR-O-U-0464,StatePublicUniversity,"Manonmaniam Sundaranar University, Tirunelveli",1363,2670,971,1699,194,353.0,129.0,352.0,240000,19825658,1061560655,9.0,14547703.0,54.14,33.0,2025
IR-O-U-0470,StatePublicUniversity,Periyar University,1213,2077,735,1342,213,272.0,260.0,65.0,250000,30335903,501403246,9.0,2947986.0,52.96,40.0,2025
IR-O-U-0485,StatePublicUniversity,Tamil Nadu Agricultural University,2893,9239,3062,6177,934,531.0,0.0,219.0,620000,464463243,8475365297,520.0,774455514.0,52.08,42.0,2025
IR-O-I-1357,University,University of Madras,1810,3384,1395,1989,340,1022.0,464.0,398.0,480000,520901000,1763876124,88.0,235105776.0,55.23,38.0,2025
IR-O-I-1441,University,Saveetha Institute of Medical and Technical Sciences,4954,13987,6546,7441,1129,658.0,849.0,127.0,1560000,714746416,5435031643,59.0,31051289.0,65.04,13.0,2025
IR-O-I-1486,University,Sri Ramachandra Institute of Higher Education and Research,2671,8949,3473,5476,662,250.0,344.0,18.0,820000,452214458,6752198055,284.0,757589218.0,51.35,60.0,2025
IR-O-U-0435,University,Alagappa University,1931,4051,1570,2481,382,731.0,725.0,80.0,120000,31376181,1171642255,41.0,166816254.0,54.45,44.0,2025
IR-O-U-0436,University,Amrita Vishwa Vidyapeetham,10007,26517,15669,10904,2104,1073.0,1236.0,243.0,600000,3589211123,10721614463,151.0,981189360.0,67.05,8.0,2025
IR-O-U-0439,University,Anna University,4257,11940,7096,4844,856,1157.0,652.0,148.0,750000,338446534,3886790974,98.0,224679428.0,61.22,20.0,2025
